filepath,label,label_str,filename,height,width,format,mode
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00073.jpg,1,face,face00073,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00074.jpg,1,face,face00074,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00075.jpg,1,face,face00075,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00076.jpg,1,face,face00076,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00077.jpg,1,face,face00077,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00078.jpg,1,face,face00078,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00079.jpg,1,face,face00079,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00080.jpg,1,face,face00080,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00081.jpg,1,face,face00081,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00082.jpg,1,face,face00082,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00083.jpg,1,face,face00083,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00084.jpg,1,face,face00084,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00085.jpg,1,face,face00085,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00086.jpg,1,face,face00086,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00087.jpg,1,face,face00087,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00088.jpg,1,face,face00088,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00089.jpg,1,face,face00089,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00090.jpg,1,face,face00090,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00091.jpg,1,face,face00091,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00092.jpg,1,face,face00092,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00093.jpg,1,face,face00093,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00094.jpg,1,face,face00094,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00095.jpg,1,face,face00095,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00096.jpg,1,face,face00096,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00097.jpg,1,face,face00097,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00098.jpg,1,face,face00098,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00099.jpg,1,face,face00099,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00100.jpg,1,face,face00100,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00101.jpg,1,face,face00101,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00102.jpg,1,face,face00102,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00103.jpg,1,face,face00103,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00104.jpg,1,face,face00104,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00105.jpg,1,face,face00105,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00106.jpg,1,face,face00106,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00107.jpg,1,face,face00107,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00108.jpg,1,face,face00108,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00109.jpg,1,face,face00109,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00110.jpg,1,face,face00110,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00111.jpg,1,face,face00111,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00112.jpg,1,face,face00112,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00113.jpg,1,face,face00113,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00114.jpg,1,face,face00114,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00115.jpg,1,face,face00115,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00116.jpg,1,face,face00116,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00117.jpg,1,face,face00117,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00118.jpg,1,face,face00118,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00119.jpg,1,face,face00119,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00120.jpg,1,face,face00120,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00121.jpg,1,face,face00121,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00122.jpg,1,face,face00122,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00123.jpg,1,face,face00123,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00124.jpg,1,face,face00124,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00125.jpg,1,face,face00125,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00126.jpg,1,face,face00126,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00127.jpg,1,face,face00127,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00128.jpg,1,face,face00128,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00129.jpg,1,face,face00129,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00130.jpg,1,face,face00130,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00131.jpg,1,face,face00131,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00132.jpg,1,face,face00132,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00133.jpg,1,face,face00133,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00134.jpg,1,face,face00134,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00135.jpg,1,face,face00135,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00136.jpg,1,face,face00136,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00137.jpg,1,face,face00137,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00138.jpg,1,face,face00138,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00139.jpg,1,face,face00139,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00140.jpg,1,face,face00140,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00141.jpg,1,face,face00141,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00142.jpg,1,face,face00142,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00143.jpg,1,face,face00143,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00144.jpg,1,face,face00144,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00145.jpg,1,face,face00145,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00146.jpg,1,face,face00146,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00147.jpg,1,face,face00147,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00148.jpg,1,face,face00148,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00149.jpg,1,face,face00149,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00150.jpg,1,face,face00150,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00151.jpg,1,face,face00151,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00152.jpg,1,face,face00152,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00153.jpg,1,face,face00153,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00154.jpg,1,face,face00154,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00155.jpg,1,face,face00155,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00156.jpg,1,face,face00156,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00157.jpg,1,face,face00157,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00158.jpg,1,face,face00158,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00159.jpg,1,face,face00159,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00160.jpg,1,face,face00160,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00161.jpg,1,face,face00161,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00162.jpg,1,face,face00162,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00163.jpg,1,face,face00163,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00164.jpg,1,face,face00164,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00165.jpg,1,face,face00165,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00166.jpg,1,face,face00166,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00167.jpg,1,face,face00167,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00168.jpg,1,face,face00168,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00169.jpg,1,face,face00169,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00170.jpg,1,face,face00170,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00171.jpg,1,face,face00171,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00172.jpg,1,face,face00172,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00173.jpg,1,face,face00173,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00174.jpg,1,face,face00174,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00175.jpg,1,face,face00175,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00176.jpg,1,face,face00176,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00177.jpg,1,face,face00177,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00178.jpg,1,face,face00178,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00179.jpg,1,face,face00179,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00180.jpg,1,face,face00180,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00181.jpg,1,face,face00181,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00182.jpg,1,face,face00182,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00183.jpg,1,face,face00183,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00184.jpg,1,face,face00184,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00185.jpg,1,face,face00185,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00186.jpg,1,face,face00186,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00187.jpg,1,face,face00187,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00188.jpg,1,face,face00188,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00189.jpg,1,face,face00189,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00190.jpg,1,face,face00190,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00191.jpg,1,face,face00191,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00192.jpg,1,face,face00192,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00193.jpg,1,face,face00193,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00194.jpg,1,face,face00194,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00195.jpg,1,face,face00195,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00196.jpg,1,face,face00196,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00197.jpg,1,face,face00197,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00198.jpg,1,face,face00198,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00199.jpg,1,face,face00199,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00200.jpg,1,face,face00200,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00201.jpg,1,face,face00201,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00202.jpg,1,face,face00202,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00203.jpg,1,face,face00203,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00204.jpg,1,face,face00204,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00205.jpg,1,face,face00205,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00206.jpg,1,face,face00206,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00207.jpg,1,face,face00207,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00208.jpg,1,face,face00208,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00209.jpg,1,face,face00209,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00210.jpg,1,face,face00210,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00211.jpg,1,face,face00211,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00212.jpg,1,face,face00212,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00213.jpg,1,face,face00213,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00214.jpg,1,face,face00214,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00215.jpg,1,face,face00215,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00216.jpg,1,face,face00216,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00217.jpg,1,face,face00217,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00218.jpg,1,face,face00218,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00219.jpg,1,face,face00219,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00220.jpg,1,face,face00220,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00221.jpg,1,face,face00221,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00222.jpg,1,face,face00222,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00223.jpg,1,face,face00223,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00224.jpg,1,face,face00224,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00225.jpg,1,face,face00225,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00226.jpg,1,face,face00226,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00227.jpg,1,face,face00227,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00228.jpg,1,face,face00228,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00229.jpg,1,face,face00229,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00230.jpg,1,face,face00230,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00231.jpg,1,face,face00231,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00232.jpg,1,face,face00232,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00233.jpg,1,face,face00233,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00234.jpg,1,face,face00234,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00235.jpg,1,face,face00235,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00236.jpg,1,face,face00236,19,19,JPEG,RGB
